"class","km2018","km2019","km2020","km2021","Km2022_3"
"Barrenland",64.9539,546.3405,447.705,867.26025,101.9808
"Builtup",343.6749,199.33335,277.2369,148.8618,242.9028
"Vegetation",1346.86125,991.0584,995.62455,718.53165,820.7757
"Water",19.65465,38.41245,54.57825,40.491,17.7705
